"","country","iso2c","date","stability","stabilityCategory","corruptionControl","governmentEffectiveness","regulatoryQuality","ruleOfLaw","voiceAndAccountability"
"1","Cameroon","CM",2016,-0.949917554855347,"Moderately Unstable",NA,NA,-0.789914131164551,NA,NA
"2","Cameroon","CM",2015,-0.989607453346252,"Moderately Unstable",NA,NA,-0.917098641395569,NA,NA
"3","Cameroon","CM",2014,-1.05925238132477,"Highly Unstable",NA,NA,-0.884594798088074,NA,NA
"4","Cameroon","CM",2013,-0.53223729133606,"Moderately Unstable",NA,NA,-0.93746954202652,NA,NA
"5","Cameroon","CM",2012,-0.588517427444458,"Moderately Unstable",NA,NA,-0.928684175014496,NA,NA
"6","Cameroon","CM",2011,-0.661687970161438,"Moderately Unstable",-0.965618939737613,-0.879471695408264,-0.806949377059937,-1.03781891664319,-1.06414121853068
"7","Cameroon","CM",2010,-0.736971437931061,"Moderately Unstable",-0.989619598673075,-0.884017175550171,-0.744187593460083,-1.04767661504243,-1.05353052579551
"8","Cameroon","CM",2009,-0.474470108747482,"Moderately Unstable",-0.926221551581319,-0.829529109903614,-0.76158207654953,-1.10617170412027,-1.03325518274378
"9","Cameroon","CM",2008,-0.550896108150482,"Moderately Unstable",-0.92979466326794,-0.790042294219236,-0.827149927616119,-1.09166469244432,-1.05432846729531
"10","Cameroon","CM",2007,-0.325032562017441,"Moderately Unstable",-0.940162892396142,-0.828236209020676,-0.847793638706207,-1.16412831195765,-1.03186311734939
"11","Cameroon","CM",2006,-0.245271444320679,"Moderately Unstable",-1.01080271136462,-0.924516305742535,-0.848338782787323,-1.12457317959144,-0.991258793007575
"12","Cameroon","CM",2005,-0.183142989873886,"Moderately Unstable",-1.14230691214139,-0.88054905805444,-0.929634511470795,-1.18013135381034,-1.01654327637308
"13","Cameroon","CM",2004,-0.360389053821564,"Moderately Unstable",-1.07561086071533,-0.697890564315868,-0.691592931747437,-1.19532783204639,-0.986222176352799
"14","Cameroon","CM",2003,-0.429809421300888,"Moderately Unstable",-0.862480478134468,-0.653435253998277,-0.839056015014648,-1.09278165048085,-1.11540287142012
"15","Cameroon","CM",2002,-0.677342116832733,"Moderately Unstable",-1.08670977807114,-0.818106971331797,-0.873907864093781,-1.24878598114316,-1.16970753654252
"16","Cameroon","CM",2000,-0.562828242778778,"Moderately Unstable",-1.0577992004557,-0.674019111671019,-0.59009575843811,-1.2281952653257,-1.14270771645739
"17","Cameroon","CM",1998,-0.782407999038696,"Moderately Unstable",-1.04015636880071,-0.73752726498297,-0.618667662143707,-1.11444280409264,-1.14090972075456
"18","Cameroon","CM",1996,-0.956825613975525,"Moderately Unstable",-1.15809796449541,-1.00144499889716,-1.12234926223755,-1.4744488412907,-0.975586225260294
